Nazwa koktajlu,Składnik 1,Składnik 2,Składnik 3,Składnik 4,Typ,Abv
a modern day jack,whiskey,creme de cacao,chocolate bitter,salted caramel,słodki,high
a quiet word,aged rum,chartreuse green,maraschino liqueur,lime,słodko-kwaśny,high
absinthe mojito,lime,mint,absinthe,soda,słodko-kwaśny,high
acapulco,aged rum,grapefruit,pineapple,sweet,słodki,low
adelaide swizzle,white rum,falernum,lime,creole bitters,słodko-kwaśny,high
adonis,sweet sherry,red vermouth,campari, ,słodki,low
affinity,whiskey,amaro,red vermouth,aromatic bitters,wytrawny,high
after eight,vodka,creme de cacao,creme de menthe, ,słodki,high
after supper,orange curacao,apricot liqueur,lemon, ,słodko-kwaśny,low
afterburner,creme de cacao,overproof rum,coffee liqueur, ,słodki,high
aggravation,whiskey,coffee liqueur,cream,sweet,słodki,high
agricole daiquiri,white rum,lime,sweet,bitters,słodko-kwaśny,high
agroni,aged rum,creole shrubb liqueur,red vermouth,campari,wytrawny,high
alexander,gin,creme de cacao,cream,egg white,słodki,high
almonds in alameda,vodka,lemon,apricot liqueur,orgeat,słodko-kwaśny,high
amaretto sour,amaretto,lemon,aromatic bitters,egg white,słodko-kwaśny,low
amaroni,gin,angostura di amaro,red vermouth, ,wytrawny,high
americano,campari,red vermouth,soda, ,wytrawny,low
americano bianco,dry vermouth,soda, , ,wytrawny,low
amsterdam cocktail,genever,triple sec,orange,orange bitters,słodko-kwaśny,high
ancho problem,tequila,chilli liqueur,lime,sweet,słodko-kwaśny,high
another sunken boat,mezcal,amaro,cherry brandy,absinthe,wytrawny,high
apache,coffee liqueur,melon liqueur,irish cream liqueur, ,słodki,high
aperol spritz,aperol,prosecco,soda, ,słodko-kwaśny,low
apparent sour,aperol,elderflower liqueur,lime, ,słodko-kwaśny,low
appily married,vodka,apple juice,grapefruit,sweet,słodki,high
black irish,vodka,irish cream liqueur,coffee liqueur, ,słodki,high
blue sky,gin,lemon,blue curacao,maraschino liqueur,słodko-kwaśny,high
bolshoi punch,overproof rum,creme de cassis,lime,sweet,słodko-kwaśny,high
boston sour,bourbon,lemon,sweet,egg white,słodko-kwaśny,high
boulevardier,bourbon,red vermouth,campari, ,wytrawny,high
bourbon alexander,bourbon,creme de cacao,coconut liqueur,cream,słodki,high
old fashioned,bourbon,sweet,aromatic bitters, ,wytrawny,high
bramble,gin,lemon,sweet,blackberry liqueur,słodko-kwaśny,high
cape codder,vodka,lime,cranberry, ,słodko-kwaśny,high
caipirinha,cachaca,lime,sweet, ,słodko-kwaśny,high
caipirovska,vodka,lime,sweet, ,słodko-kwaśny,high
cardinale,gin,campari,dry vermouth, ,wytrawny,high
cassanova,bourbon,coffee liqueur,cream,sweet,słodki,high
aviation,gin,luxardo maraschino,creme de violette,lemon,słodko-kwaśny,high
brandy alexander,cognac,creme de cacao,cream, ,słodki,high
black russian,vodka,coffee liqueur, , ,słodki,high
chartreuse swizzle,chartreuse green,falernum,pineapple,lime,słodko-kwaśny,low
blood and sand,whiskey,red vermouth,cherry liqueur,orange,słodki,high
chrysanhemum,dry vermouth,herbal liqueur,absynth, ,wytrawny,low
clover club,gin,dry vermouth,lemon,egg white,słodko-kwaśny,high
corn n oil,aged rum,falernum,lime,aromatic bitters,słodko-kwaśny,high
corpse reviver no one,cognac,calvados,red vermouth,orange bitter,słodki,low
cosmopolitan,vodka,cointraeu,lime,cranberry,słodko-kwaśny,high
daiquiri,aged rum,lime,sweet, ,słodko-kwaśny,high
de la louisianne,bourbon,red vermouth,herbal liqueur,absynth,wytrawny,high
dark n stormy,aged rum,lime,ginger beer,aromatic bitters,słodko-kwaśny,low
diamond fizz,gin,lemon,sweet,prosecco,słodko-kwaśny,high
dirty martini,gin,dry vermouth,olive, ,wytrawny,high
dry martini,gin,dry vermouth,saline solution, ,wytrawny,high
el diablo,tequila,lime,creme de mure,ginger beer,słodko-kwaśny,high
el presidente,aged rum,lillet,cointreau,orange bitters,wytrawny,high
espresso martini,vodka,coffee liqueur,coffee,sweet,słodki,high
eggnog,cognac,sweet,cream,egg white,słodki,low
el burro,tequila,lime,aromatic bitters,ginger beer,słodko-kwaśny,high
el estribo,tequila,creme de cassic,pineapple,cream,słodki,high
elder sour,elderflower liqueur,lime,egg white,orange bitters,słodko-kwaśny,low
elixir,mint,chartreuse green,sweet,lime,słodko-kwaśny,low
envy,vodka,melon liqueur,hazelnut liqueur,lime,słodko-kwaśny,high
french,gin,lemon,sweet,prosecco,słodko-kwaśny,high
martinez,genever,red vermouth,luxardo maraschino,aromatic bitters,wytrawny,high
gimlet,gin,lime,sweet, ,słodko-kwaśny,high
jungle bird,aged rum,campari,pineapple,lime,słodko-kwaśny,high
golden cadillac,herbal liqueur,creme de cacao,cream, ,słodki,low
margarita,tequila,cointreau,lime,sweet,słodko-kwaśny,high
mint julep,bourbon,sweet,mint,aromatic bitters,słodko-kwaśny,high
last word,gin,chartreuse green,luxardo maraschino,lime,słodko-kwaśny,high
grasshopper,creme de menthe,creme de cacao,cream, ,słodki,low
mojito,white rum,lime,sweet,soda,słodko-kwaśny,low
hanky panky,gin,red vermouth,amaro, ,wytrawny,high
naked and famous,mezcal,aperol,chartreuse yellow,lime,słodko-kwaśny,high
hemingway daiquiri,aged rum,luxardo maraschino,lime,grapefruit,słodko-kwaśny,high
mai tai,overproof rum,cointreau,lime,orgeat,słodko-kwaśny,high
negroni,gin,red vermouth,campari, ,wytrawny,high
kingston negroni,aged rum,campari,red vermouth, ,wytrawny,high
manhattan,bourbon,red vermouth,aromatic bitters, ,wytrawny,high
negroni sbagliato,red vermouth,campari,prosecco, ,wytrawny,high
nuclear daiquiri,overproof rum,chartreuse green,lime,falernum,słodko-kwaśny,high
oaxaca old fashioned,tequila,mezcal,sweet,cocoa bitter,wytrawny,high
old cuban,aged rum,lime,sweet,aromatic bitters,słodko-kwaśny,high
paper plane,bourbon,aperol,amaro,lemon,słodko-kwaśny,high
penicylin,whiskey,smokey whiskey,lemon,ginger honey,słodko-kwaśny,high
pisco sour,pisco,lemon,sweet,egg white,słodko-kwaśny,low
porn star martini,vodka,passionfruit,lemon,sweet,słodki,high
right hand,aged rum,red vermouth,campari,cocoa bitters,wytrawny,high
rob roy,whiskey,red vermouth,aromatic bitters, ,wytrawny,high
sazerac,cognac,bourbon,sweet,absynth,słodki,high
sidecar,cognac,cointreau,lemon,sweet,słodko-kwaśny,low
southside,gin,lime,sweet,mint,słodko-kwaśny,high
tom collins,gin,lemon,sweet,soda,słodko-kwaśny,high
vesper martini,gin,vodka,lillet, ,wytrawny,high
torino rickey,red vermouth,lime,soda, ,słodko-kwaśny,low
prescription julep,mint,cognac,sweet,bourbon,słodko-kwaśny,high
tequila martini,tequila,dry vermouth,margarita bitters, ,wytrawny,high
iron negroni,gin,amaro,red vermouth, ,wytrawny,high
saketini,sake,dry vermouth,gin,vodka,wytrawny,high
garibaldi,campari,orange,sweet, ,słodko-kwaśny,low
vieux carre,bourbon,cognac,red vermouth,aromatic bitters,wytrawny,high
pina colada,aged rum,pineapple,coconut,cream,słodki,high
rum punch,overproof rum,lime,sweet,aromatic bitters,słodko-kwaśny,high
irish coffee,whiskey,sweet,coffee,cream,słodki,high
royal mojito,aged rum,sweet,lime,mint,słodko-kwaśny,high
mezcal margarita,mezcal,lime,sweet,cointreau,słodko-kwaśny,high
premiere mai tai,overproof rum,orange curacao,orgeat,lime,słodko-kwaśny,high
gin and tonic,gin,tonic, , ,wytrawny,high
midnight stinger,bourbon,amaro,lemon,sweet,słodko-kwaśny,high
porto of spain,mezcal,orgeat,lime,aromatic bitters,słodko-kwaśny,high
m and m,mezcal,amaro, , ,słodki,high
dubliner,whiskey,chartreuse green,maraschino liqueur,lime,słodko-kwaśny,high
corpse reviver four,tequila,absynth,lemon,cointreau,słodko-kwaśny,high
satans whiskers,gin,dry vermouth,red vermouth,orange bitters,wytrawny,high
macunaima,cachaca,lemon,sweet,amaro,słodko-kwaśny,high
honeysuckle daiquiri,aged rum,lemon,orange,sweet,słodko-kwaśny,high
marigny,cognac,chartreuse green,lemon,calvados,słodko-kwaśny,low
canchanchara,aged rum,lime,sweet, ,słodko-kwaśny,high
air mail,aged rum,lime,sweet,prosecco,słodko-kwaśny,high
hunters verdict,aged rum,amaro,ginger liqueur,orange bitters,słodki,high
warsays cocktail,calvados, ,red vermouth,chartreuse green,słodki,low
ford cocktail,gin,dry vermouth,herbal liqueur,orange bitters,wytrawny,high
rum old fashioned,aged rum,overproof rum,falernum,sweet,wytrawny,high
old gal,bourbon,campari,dry vermouth, ,wytrawny,high
going out west,bourbon,mezcal,amaro,sweet,słodki,high
barbary coast,whiskey,gin,creme de cacao,cream,słodki,high
daiquiri no three,aged rum,lime,grapefruit,maraschino liqueur,słodko-kwaśny,high
